Method,Project,Recall,Precision,F1,MCC,AUC,GMean
RFF,jruby-1.1,0.9090909090909091,0.21739130434782608,0.3508771929824562,0.33174440134851857,0.7727272727272727,0.7606000241218869
RFF,jruby-1.1,0.8636363636363636,0.24358974358974358,0.38000000000000006,0.3547360243398005,0.7828282828282828,0.7786463731836119
RFF,jruby-1.1,0.7727272727272727,0.20987654320987653,0.33009708737864074,0.27958820274636076,0.7247474747474746,0.7231575493201045
RFF,jruby-1.1,0.9090909090909091,0.19607843137254902,0.3225806451612903,0.29775820070598047,0.7474747474747474,0.7297936108358967
RFF,jruby-1.1,0.9090909090909091,0.24390243902439024,0.38461538461538464,0.36975519390661477,0.797979797979798,0.7902063521457756
RFF,jruby-1.1,0.9090909090909091,0.21739130434782608,0.3508771929824562,0.33174440134851857,0.7727272727272727,0.7606000241218869
RFF,jruby-1.1,0.9090909090909091,0.21978021978021978,0.35398230088495575,0.33534334489711715,0.7752525252525253,0.763612313233585
RFF,jruby-1.1,0.9090909090909091,0.19047619047619047,0.3149606299212599,0.2881766449557504,0.7398989898989898,0.7202948075154372
RFF,jruby-1.1,0.9090909090909091,0.20202020202020202,0.33057851239669417,0.3076024828520619,0.7550505050505051,0.7391703586454829
RFF,jruby-1.1,0.9090909090909091,0.18018018018018017,0.3007518796992481,0.26970811489067226,0.7247474747474748,0.7009111215891138
RFF,jruby-1.1,0.9545454545454546,0.22826086956521738,0.3684210526315789,0.36246147554745545,0.797979797979798,0.7824697777985065
RFF,jruby-1.1,0.8636363636363636,0.2235294117647059,0.3551401869158879,0.32673201960653564,0.7651515151515152,0.7587869106393281
RFF,jruby-1.1,0.8636363636363636,0.2261904761904762,0.3584905660377359,0.3305791916162612,0.7676767676767677,0.7616556804579883
RFF,jruby-1.1,0.8636363636363636,0.2261904761904762,0.3584905660377359,0.3305791916162612,0.7676767676767677,0.7616556804579883
RFF,jruby-1.1,0.8636363636363636,0.2159090909090909,0.34545454545454546,0.3154645880857123,0.7575757575757576,0.7501147754234281
RFF,jruby-1.1,0.9090909090909091,0.21978021978021978,0.35398230088495575,0.33534334489711715,0.7752525252525253,0.763612313233585
RFF,jruby-1.1,0.9090909090909091,0.23255813953488372,0.3703703703703703,0.35398264645063965,0.787878787878788,0.7784989441615229
RFF,jruby-1.1,0.8636363636363636,0.22093023255813954,0.3518518518518518,0.32293153711286426,0.7626262626262625,0.7559072535312983
RFF,jruby-1.1,0.9090909090909091,0.23529411764705882,0.3738317757009346,0.35784935480715807,0.7904040404040404,0.7814422398925834
RFF,jruby-1.1,0.9090909090909091,0.20202020202020202,0.33057851239669417,0.3076024828520619,0.7550505050505051,0.7391703586454829
RFF,jruby-1.1,0.8636363636363636,0.23170731707317074,0.36538461538461536,0.33842000798232535,0.7727272727272728,0.7673610461879151
RFF,jruby-1.1,0.9090909090909091,0.18518518518518517,0.30769230769230765,0.2788339708571014,0.7323232323232324,0.7106690545187014
RFF,jruby-1.1,0.9090909090909091,0.18867924528301888,0.3125,0.28503700140442717,0.7373737373737375,0.7171005797696505
RFF,jruby-1.1,0.8636363636363636,0.2602739726027397,0.39999999999999997,0.3764822536797136,0.7954545454545455,0.7925270806437589
RFF,jruby-1.1,0.7727272727272727,0.2833333333333333,0.4146341463414634,0.3742275995918744,0.7777777777777778,0.7777613798612484
RFF,jruby-1.1,0.9090909090909091,0.24096385542168675,0.38095238095238093,0.36573395065664116,0.7954545454545455,0.7872958216222169
RFF,jruby-1.1,0.9090909090909091,0.19607843137254902,0.3225806451612903,0.29775820070598047,0.7474747474747474,0.7297936108358967
RFF,jruby-1.1,0.9090909090909091,0.21739130434782608,0.3508771929824562,0.33174440134851857,0.7727272727272727,0.7606000241218869
RFF,jruby-1.1,0.9090909090909091,0.2222222222222222,0.3571428571428571,0.3389834532487511,0.7777777777777778,0.7666127661014254
RFF,jruby-1.1,0.8181818181818182,0.22784810126582278,0.3564356435643564,0.3189899621682946,0.7550505050505051,0.752406607147584
RFF,jruby-1.1,0.8181818181818182,0.23076923076923078,0.36000000000000004,0.3230631650237469,0.7575757575757577,0.7551476239016431
RFF,jruby-1.1,0.8636363636363636,0.24675324675324675,0.3838383838383838,0.3589581410593235,0.7853535353535354,0.7814422398925834
RFF,jruby-1.1,0.8636363636363636,0.2289156626506024,0.3619047619047619,0.334474638634706,0.7702020202020202,0.7645136855480524
RFF,jruby-1.1,0.8636363636363636,0.2289156626506024,0.3619047619047619,0.334474638634706,0.7702020202020202,0.7645136855480524
RFF,jruby-1.1,0.8181818181818182,0.21951219512195122,0.34615384615384615,0.30708482205803594,0.7474747474747474,0.7441229792611318
RFF,jruby-1.1,0.8636363636363636,0.21839080459770116,0.34862385321100925,0.31917621714397204,0.7601010101010102,0.7530165842296471
RFF,jruby-1.1,0.7727272727272727,0.2328767123287671,0.35789473684210527,0.31212631287976256,0.7449494949494948,0.744431424032621
RFF,jruby-1.1,0.8181818181818182,0.2222222222222222,0.34951456310679613,0.3110026075493227,0.7500000000000002,0.7468943965979539
RFF,jruby-1.1,0.8636363636363636,0.2235294117647059,0.3551401869158879,0.32673201960653564,0.7651515151515152,0.7587869106393281
RFF,jruby-1.1,0.9090909090909091,0.21739130434782608,0.3508771929824562,0.33174440134851857,0.7727272727272727,0.7606000241218869
RFF,camel-1.4.0,0.6597938144329897,0.4266666666666667,0.5182186234817815,0.36554144316983506,0.7097851753729194,0.7080224989437409
RFF,camel-1.4.0,0.6288659793814433,0.4066666666666667,0.4939271255060729,0.33129545346998435,0.690131313713068,0.6874065674523043
RFF,camel-1.4.0,0.6907216494845361,0.40853658536585363,0.5134099616858238,0.3580736430559937,0.7098859644070725,0.7096272341840534
RFF,camel-1.4.0,0.6907216494845361,0.43790849673202614,0.5359999999999999,0.3905451419653069,0.7252490928986925,0.7244267405346511
RFF,camel-1.4.0,0.7938144329896907,0.3719806763285024,0.506578947368421,0.3542232495878971,0.7153429706847895,0.7110258752759072
RFF,camel-1.4.0,0.7731958762886598,0.3488372093023256,0.4807692307692307,0.31348639064862566,0.6910672118873468,0.6861696392506793
RFF,camel-1.4.0,0.5670103092783505,0.48672566371681414,0.5238095238095238,0.3839098036108769,0.7024995680469965,0.6893100201393706
RFF,camel-1.4.0,0.6391752577319587,0.4189189189189189,0.5061224489795919,0.3487769354564851,0.6994758970224039,0.6968718414575669
RFF,camel-1.4.0,0.7216494845360825,0.358974358974359,0.47945205479452063,0.3082727047790905,0.6862437366814491,0.6853297740164016
RFF,camel-1.4.0,0.6391752577319587,0.47692307692307695,0.5462555066079294,0.40727135100455525,0.7246155618268731,0.7195607457872084
RFF,camel-1.4.0,0.8041237113402062,0.42162162162162165,0.5531914893617021,0.42126778169268625,0.7526205148879802,0.7508562180507343
RFF,camel-1.4.0,0.7731958762886598,0.3968253968253968,0.5244755244755245,0.37795320674719834,0.7273800610493579,0.7259357163593245
RFF,camel-1.4.0,0.8247422680412371,0.37735849056603776,0.517799352750809,0.37440966007383186,0.7280135921211772,0.7215589744213093
RFF,camel-1.4.0,0.7422680412371134,0.39779005524861877,0.5179856115107915,0.36634253491741786,0.7188993837470483,0.7185194707166939
RFF,camel-1.4.0,0.8041237113402062,0.3577981651376147,0.49523809523809526,0.33864173168757405,0.7065311294131199,0.6997584760348271
RFF,camel-1.4.0,0.7938144329896907,0.3407079646017699,0.4767801857585139,0.30931623835371674,0.6888066578356274,0.6807554473053307
RFF,camel-1.4.0,0.8041237113402062,0.3277310924369748,0.4656716417910448,0.2928977474057895,0.6785981685192651,0.6668874061018164
RFF,camel-1.4.0,0.7525773195876289,0.40331491712707185,0.525179856115108,0.3773065455329165,0.7254506709669988,0.7249433225715523
RFF,camel-1.4.0,0.6907216494845361,0.44370860927152317,0.5403225806451613,0.3966867483267682,0.7280423889880782,0.7270851962228201
RFF,camel-1.4.0,0.6701030927835051,0.45454545454545453,0.5416666666666666,0.39896756523655647,0.7261129989057191,0.7239495684065551
RFF,camel-1.4.0,0.6494845360824743,0.4117647058823529,0.504,0.3451096933347227,0.6990439440188907,0.6972849494679187
RFF,camel-1.4.0,0.7938144329896907,0.3869346733668342,0.5202702702702702,0.37403309974100823,0.7265161550423314,0.7233924697719855
RFF,camel-1.4.0,0.6907216494845361,0.40853658536585363,0.5134099616858238,0.3580736430559937,0.7098859644070725,0.7096272341840534
RFF,camel-1.4.0,0.711340206185567,0.40828402366863903,0.518796992481203,0.36618066732841525,0.7160052986235097,0.715990100887915
RFF,camel-1.4.0,0.7938144329896907,0.375609756097561,0.509933774834437,0.3591189458024914,0.7181362667741749,0.7141376007567489
RFF,camel-1.4.0,0.7422680412371134,0.4090909090909091,0.5274725274725275,0.37991090928257215,0.725882623970512,0.7256976656179315
RFF,camel-1.4.0,0.7835051546391752,0.36893203883495146,0.5016501650165017,0.34588576995682346,0.7101883315095318,0.7063937355741975
RFF,camel-1.4.0,0.7525773195876289,0.3802083333333333,0.5051903114186851,0.34844094940992676,0.7100875424753785,0.7088151640728872
RFF,camel-1.4.0,0.6494845360824743,0.5478260869565217,0.5943396226415095,0.47519338563023245,0.7521165697172147,0.7450812037054669
RFF,camel-1.4.0,0.7835051546391752,0.35514018691588783,0.4887459807073955,0.32660896411360335,0.6990151471519899,0.6938902035500526
RFF,camel-1.4.0,0.6907216494845361,0.432258064516129,0.5317460317460316,0.38448077322085605,0.7224557968093072,0.7217584930133768
RFF,camel-1.4.0,0.7216494845360825,0.4117647058823529,0.5243445692883896,0.3744699257174528,0.7211599377987675,0.721159771638653
RFF,camel-1.4.0,0.7835051546391752,0.35348837209302325,0.48717948717948717,0.3242351704334881,0.6976184991072971,0.6923113842038613
RFF,camel-1.4.0,0.711340206185567,0.39204545454545453,0.5054945054945056,0.346855172976433,0.7062287623106607,0.7062102646212113
RFF,camel-1.4.0,0.6494845360824743,0.43448275862068964,0.5206611570247933,0.36953929615617376,0.7102171283764326,0.7076156595727104
RFF,camel-1.4.0,0.6701030927835051,0.4676258992805755,0.5508474576271185,0.41203271693823373,0.7316995910844899,0.729102299399931
RFF,camel-1.4.0,0.6185567010309279,0.4580152671755725,0.5263157894736843,0.3801097845483467,0.7101163393422796,0.7041889292179863
RFF,camel-1.4.0,0.6288659793814433,0.44525547445255476,0.5213675213675214,0.3719180333862762,0.7082877382940737,0.7038207899948382
RFF,camel-1.4.0,0.7422680412371134,0.39779005524861877,0.5179856115107915,0.36634253491741786,0.7188993837470483,0.7185194707166939
RFF,camel-1.4.0,0.6907216494845361,0.44370860927152317,0.5403225806451613,0.3966867483267682,0.7280423889880782,0.7270851962228201
RFF,camel-2.10.0,0.4931506849315068,0.06936416184971098,0.12162162162162163,0.11834196924583287,0.6416665674874736,0.6242427544311419
RFF,camel-2.10.0,0.4246575342465753,0.0950920245398773,0.15538847117794485,0.14872051164499445,0.6482540494864502,0.6084717832801825
RFF,camel-2.10.0,0.3972602739726027,0.13551401869158877,0.20209059233449475,0.1910274238326403,0.6584476869428609,0.6044290626254727
RFF,camel-2.10.0,0.5205479452054794,0.06871609403254973,0.12140575079872204,0.12122279964232328,0.648414719779108,0.6356821035599132
RFF,camel-2.10.0,0.5342465753424658,0.07784431137724551,0.13588850174216027,0.14111506086626097,0.6667757637789653,0.6534722131624154
RFF,camel-2.10.0,0.4931506849315068,0.08695652173913043,0.1478439425051335,0.1496577682030568,0.6644728229175344,0.6420068982743827
RFF,camel-2.10.0,0.6027397260273972,0.07746478873239436,0.13728549141965676,0.15178236412495175,0.6875557882960618,0.6823043291674595
RFF,camel-2.10.0,0.6164383561643836,0.06474820143884892,0.11718749999999999,0.12673929162759312,0.667037596848482,0.6651156835104632
RFF,camel-2.10.0,0.4931506849315068,0.07775377969762419,0.13432835820895522,0.13404493674635723,0.6538299037168395,0.6337789296315449
RFF,camel-2.10.0,0.4657534246575342,0.06181818181818182,0.10914927768860355,0.0988551193386637,0.6208002570724683,0.6011268077031151
RFF,camel-2.10.0,0.5342465753424658,0.08024691358024691,0.1395348837209302,0.14549405002447754,0.6700338002689739,0.6561304161899837
RFF,camel-2.10.0,0.5616438356164384,0.09832134292565947,0.16734693877551018,0.18070006902119315,0.6991538031253347,0.6854976653937791
RFF,camel-2.10.0,0.4520547945205479,0.08483290488431877,0.14285714285714288,0.13870763285941204,0.6487033312307344,0.6181790719197751
