Method,Project,Recall,Precision,F1,MCC,AUC,GMean
RFF,httpclient,0.4,0.5483870967741935,0.46258503401360546,0.21535640498029054,0.5992805755395684,0.5651764860923132
RFF,httpclient,0.4235294117647059,0.6101694915254238,0.5,0.2842972006822001,0.6290308929327127,0.5945157739719621
RFF,httpclient,0.38823529411764707,0.6,0.4714285714285714,0.25926749903499513,0.6149809564113414,0.571653725064048
RFF,httpclient,0.36470588235294116,0.5849056603773585,0.4492753623188406,0.23569965526969283,0.6032162505289886,0.5540601494195173
RFF,httpclient,0.4235294117647059,0.6428571428571429,0.5106382978723405,0.3133823416051158,0.6398222598391875,0.6021544054954293
RFF,httpclient,0.4235294117647059,0.4864864864864865,0.4528301886792453,0.1549085051679522,0.5750740584003385,0.5547471430490808
RFF,httpclient,0.4,0.6181818181818182,0.48571428571428577,0.2806425155178214,0.6244604316546762,0.582724931098491
RFF,httpclient,0.35294117647058826,0.6122448979591837,0.44776119402985076,0.2538381986352554,0.6081252644942869,0.5519940384965761
RFF,httpclient,0.4,0.5862068965517241,0.4755244755244755,0.2518379088739525,0.6136690647482014,0.5752697209123396
RFF,httpclient,0.3764705882352941,0.48484848484848486,0.423841059602649,0.1403621717173368,0.5659331358442657,0.5332769049002988
RFF,httpclient,0.49411764705882355,0.6086956521739131,0.5454545454545455,0.31518380553306136,0.6499365213711384,0.6309817431749188
RFF,httpclient,0.4,0.68,0.5037037037037037,0.33199964731146064,0.6424460431654676,0.5949427153368416
RFF,httpclient,0.5058823529411764,0.6323529411764706,0.5620915032679739,0.34407463666085614,0.6630131189166314,0.6441244586564976
RFF,httpclient,0.4470588235294118,0.59375,0.5100671140939598,0.27928934663741556,0.6300042319085908,0.6028567904367578
RFF,httpclient,0.4,0.5964912280701754,0.4788732394366197,0.2612907282952168,0.6172661870503596,0.5777654797928722
RFF,httpclient,0.4,0.5964912280701754,0.4788732394366197,0.2612907282952168,0.6172661870503596,0.5777654797928722
RFF,httpclient,0.5176470588235295,0.5945945945945946,0.5534591194968554,0.3113887990016446,0.6509098603470165,0.6371221798266674
RFF,httpclient,0.27058823529411763,0.6052631578947368,0.37398373983739835,0.21032371776705275,0.5813372831146847,0.49131259501235464
RFF,httpclient,0.47058823529411764,0.6349206349206349,0.5405405405405405,0.32931020806976474,0.6525603046974187,0.6266746502164164
RFF,httpclient,0.4,0.6071428571428571,0.4822695035460993,0.2708898207095069,0.6208633093525179,0.5802505040773462
